               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.023498,            0.020413,           0.0063555,             0.81193,              0.7365,             0.78561,             0.56594,            0.030066,            0.019071,            0.008982,           0.0071566,           0.0071566,           0.0071566
                  78,             0.02298,            0.020072,           0.0058913,             0.81481,             0.72884,             0.78457,             0.56562,             0.03014,             0.01918,           0.0091231,           0.0070906,           0.0070906,           0.0070906
                  79,            0.022967,            0.019937,           0.0058065,             0.80675,             0.74081,             0.78694,             0.56724,            0.030221,             0.01922,           0.0090467,           0.0070243,           0.0070243,           0.0070243
                  80,            0.023006,            0.020282,           0.0062077,             0.82646,             0.72759,             0.78864,             0.56934,            0.030093,            0.019107,           0.0088665,           0.0069576,           0.0069576,           0.0069576
                  81,            0.022813,             0.02002,           0.0057145,             0.81808,             0.73133,             0.78769,             0.56823,            0.030042,            0.019174,           0.0089337,           0.0068906,           0.0068906,           0.0068906
                  82,             0.02269,            0.019554,           0.0057495,             0.81176,             0.74267,             0.78834,              0.5688,            0.030063,            0.019315,           0.0089067,           0.0068232,           0.0068232,           0.0068232
                  83,            0.022791,            0.019841,           0.0058345,              0.8244,             0.73337,             0.78975,             0.57046,            0.030016,            0.019316,           0.0089283,           0.0067555,           0.0067555,           0.0067555
                  84,             0.02269,            0.019729,           0.0058073,             0.82534,             0.73734,             0.79046,             0.57187,            0.029935,            0.019296,           0.0089265,           0.0066874,           0.0066874,           0.0066874
                  85,            0.022589,            0.019801,           0.0058693,             0.81342,             0.74543,             0.79087,             0.57264,            0.029949,            0.019324,           0.0090716,           0.0066191,           0.0066191,           0.0066191
                  86,            0.022576,            0.019565,           0.0057381,             0.81876,             0.73988,             0.79006,             0.57189,            0.030034,            0.019364,            0.009034,           0.0065505,           0.0065505,           0.0065505
                  87,            0.022271,            0.019339,           0.0054688,              0.8187,             0.74275,             0.79087,             0.57278,            0.030003,            0.019465,           0.0090007,           0.0064816,           0.0064816,           0.0064816
                  88,            0.021961,            0.019118,           0.0052266,             0.82334,             0.73767,             0.79021,             0.57368,            0.029986,            0.019486,           0.0090557,           0.0064125,           0.0064125,           0.0064125
                  89,            0.021994,            0.019206,           0.0052988,             0.82228,             0.73665,             0.79051,             0.57497,            0.029939,            0.019523,            0.009024,           0.0063432,           0.0063432,           0.0063432
                  90,            0.022123,            0.019176,           0.0054347,             0.82531,             0.73465,             0.79048,             0.57482,            0.029917,             0.01952,           0.0089746,           0.0062737,           0.0062737,           0.0062737
                  91,            0.021813,            0.019283,           0.0053347,             0.82067,             0.74096,             0.79103,             0.57527,              0.0299,            0.019502,            0.009021,            0.006204,            0.006204,            0.006204
                  92,            0.021599,            0.019065,           0.0054971,             0.81486,             0.74628,             0.79107,             0.57616,             0.02989,             0.01955,           0.0090157,           0.0061341,           0.0061341,           0.0061341
                  93,            0.021899,            0.019332,           0.0053179,             0.82713,             0.73684,             0.79177,              0.5779,             0.02985,            0.019595,           0.0089585,            0.006064,            0.006064,            0.006064
                  94,             0.02175,            0.018864,           0.0052323,             0.83073,             0.73448,             0.79204,             0.57837,            0.029878,            0.019655,           0.0089508,           0.0059938,           0.0059938,           0.0059938
                  95,             0.02167,            0.019192,           0.0054253,             0.81695,             0.74712,             0.79338,             0.57891,            0.029853,            0.019632,           0.0088671,           0.0059235,           0.0059235,           0.0059235
                  96,            0.021539,            0.018908,           0.0052956,             0.82346,             0.74255,             0.79336,             0.57958,            0.029848,            0.019679,           0.0087809,           0.0058531,           0.0058531,           0.0058531
                  97,            0.021462,            0.018686,           0.0050484,             0.81954,             0.74587,             0.79358,              0.5802,            0.029845,             0.01969,           0.0087693,           0.0057826,           0.0057826,           0.0057826
                  98,            0.021464,            0.018637,           0.0051233,             0.82814,             0.74083,             0.79409,             0.58032,            0.029828,            0.019708,           0.0086749,            0.005712,            0.005712,            0.005712
                  99,            0.020953,            0.018545,            0.005097,               0.828,             0.74179,             0.79407,             0.58044,            0.029831,            0.019768,           0.0086369,           0.0056413,           0.0056413,           0.0056413
                 100,            0.021159,            0.018553,           0.0051598,             0.82456,             0.74336,             0.79418,             0.58086,            0.029837,            0.019806,           0.0086254,           0.0055707,           0.0055707,           0.0055707
                 101,            0.021041,            0.018275,            0.005083,             0.82304,             0.74085,              0.7938,             0.58058,            0.029855,             0.01985,           0.0086157,              0.0055,              0.0055,              0.0055
                 102,            0.020967,            0.018447,           0.0052832,             0.81135,             0.75184,             0.79429,             0.58104,            0.029848,            0.019897,           0.0086074,           0.0054293,           0.0054293,           0.0054293
                 103,             0.02085,            0.018387,           0.0050113,             0.83017,               0.737,             0.79461,              0.5812,            0.029819,            0.019919,           0.0086477,           0.0053587,           0.0053587,           0.0053587
                 104,            0.020872,            0.018352,           0.0049644,             0.83526,             0.73211,             0.79393,             0.58108,            0.029797,            0.019949,           0.0086162,            0.005288,            0.005288,            0.005288
                 105,            0.020616,            0.018324,            0.005077,             0.82959,              0.7387,             0.79474,             0.58193,             0.02978,             0.01996,           0.0086072,           0.0052174,           0.0052174,           0.0052174
                 106,             0.02049,            0.018191,           0.0050087,             0.82993,              0.7391,             0.79465,             0.58171,            0.029782,            0.019995,           0.0085955,           0.0051469,           0.0051469,           0.0051469
                 107,            0.020498,            0.017904,           0.0049856,             0.82653,              0.7403,             0.79483,             0.58208,            0.029756,            0.020015,           0.0085544,           0.0050765,           0.0050765,           0.0050765
                 108,            0.020626,            0.018239,            0.004885,              0.8269,             0.73772,             0.79413,             0.58232,            0.029746,            0.020012,            0.008531,           0.0050062,           0.0050062,           0.0050062
                 109,            0.020357,            0.017745,           0.0045532,             0.83135,             0.73429,             0.79418,             0.58242,            0.029746,            0.020048,           0.0085278,            0.004936,            0.004936,            0.004936
                 110,             0.02014,            0.017715,           0.0046051,             0.82595,             0.73953,             0.79434,              0.5828,            0.029756,            0.020089,           0.0085317,           0.0048659,           0.0048659,           0.0048659
                 111,             0.02014,            0.017739,           0.0044529,             0.81881,             0.74727,             0.79538,             0.58324,            0.029775,            0.020116,           0.0085447,            0.004796,            0.004796,            0.004796
                 112,            0.019912,            0.017682,            0.004593,             0.82676,             0.74171,             0.79567,             0.58365,            0.029787,            0.020136,           0.0085669,           0.0047263,           0.0047263,           0.0047263
